ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
  364.0 5.197E-15  891.1   891
  365.0 5.093E-15  891.1   891
  366.0 4.992E-15  891.1   891
  367.0 4.892E-15  891.1   891
  368.0 4.795E-15  891.1   891
  369.0 4.700E-15  891.1   891
  370.0 4.607E-15  891.1   891
  371.0 4.516E-15  891.1   891
  372.0 4.427E-15  891.1   891
  373.0 4.339E-15  891.2   891
  374.0 4.254E-15  891.2   891
  375.0 4.170E-15  891.2   891
  376.0 4.088E-15  891.2   891
  377.0 4.008E-15  891.2   891
  378.0 3.929E-15  891.2   891
  379.0 3.852E-15  891.2   891
  380.0 3.777E-15  891.2   891
  381.0 3.703E-15  891.2   891
  382.0 3.631E-15  891.2   891
  383.0 3.560E-15  891.2   891
  384.0 3.491E-15  891.2   891
  385.0 3.423E-15  891.2   891
  386.0 3.356E-15  891.2   891
  387.0 3.291E-15  891.2   891
  388.0 3.227E-15  891.2   891
  389.0 3.165E-15  891.2   891
  390.0 3.104E-15  891.2   891
  391.0 3.044E-15  891.2   891
  392.0 2.985E-15  891.3   891
  393.0 2.928E-15  891.3   891
  394.0 2.871E-15  891.3   891
  395.0 2.816E-15  891.3   891
  396.0 2.762E-15  891.3   891
  397.0 2.709E-15  891.3   891
  398.0 2.657E-15  891.3   891
  399.0 2.607E-15  891.3   891
  400.0 2.557E-15  891.3   891
  401.0 2.508E-15  891.3   891
  402.0 2.460E-15  891.3   891
  403.0 2.413E-15  891.3   891
  404.0 2.368E-15  891.3   891
  405.0 2.323E-15  891.3   891
  406.0 2.278E-15  891.3   891
  407.0 2.235E-15  891.3   891
  408.0 2.193E-15  891.3   891
  409.0 2.152E-15  891.3   891
  410.0 2.111E-15  891.3   891
  411.0 2.071E-15  891.3   891
  412.0 2.032E-15  891.3   891
  413.0 1.994E-15  891.3   891
  414.0 1.956E-15  891.3   891
  415.0 1.920E-15  891.3   891
  416.0 1.884E-15  891.3   891
  417.0 1.848E-15  891.3   891
  418.0 1.814E-15  891.3   891
  419.0 1.780E-15  891.3   891
  420.0 1.746E-15  891.3   891
  421.0 1.714E-15  891.3   891
  422.0 1.682E-15  891.3   891
  423.0 1.651E-15  891.3   891
  424.0 1.620E-15  891.3   891
  425.0 1.590E-15  891.3   891
  426.0 1.560E-15  891.3   891
  427.0 1.531E-15  891.3   891
  428.0 1.503E-15  891.3   891
  429.0 1.475E-15  891.3   891
  430.0 1.448E-15  891.3   891
  431.0 1.421E-15  891.3   891
  432.0 1.395E-15  891.3   891
  433.0 1.369E-15  891.3   891
  434.0 1.344E-15  891.3   891
  435.0 1.319E-15  891.3   891
  436.0 1.295E-15  891.3   891
  437.0 1.271E-15  891.3   891
  438.0 1.248E-15  891.3   891
  439.0 1.225E-15  891.3   891
  440.0 1.203E-15  891.4   891
  441.0 1.181E-15  891.4   891
  442.0 1.159E-15  891.4   891
  443.0 1.138E-15  891.4   891
  444.0 1.117E-15  891.4   891
  445.0 1.097E-15  891.4   891
  446.0 1.077E-15  891.4   891
  447.0 1.058E-15  891.4   891
  448.0 1.039E-15  891.4   891
  449.0 1.020E-15  891.4   891
  450.0 1.001E-15  891.4   891
  451.0 9.832E-16  891.4   891
  452.0 9.654E-16  891.4   891
  453.0 9.480E-16  891.4   891
  454.0 9.310E-16  891.4   891
  455.0 9.142E-16  891.4   891
  456.0 8.978E-16  891.4   891
  457.0 8.817E-16  891.4   891
  458.0 8.659E-16  891.4   891
  459.0 8.504E-16  891.4   891
  460.0 8.352E-16  891.4   891
  461.0 8.202E-16  891.4   891
  462.0 8.056E-16  891.4   891
  463.0 7.912E-16  891.4   891
  464.0 7.771E-16  891.4   891
  465.0 7.633E-16  891.4   891
  466.0 7.498E-16  891.4   891
  467.0 7.365E-16  891.4   891
  468.0 7.234E-16  891.4   891
  469.0 7.106E-16  891.4   891
  470.0 6.980E-16  891.4   891
  471.0 6.857E-16  891.4   891
  472.0 6.736E-16  891.4   891
  473.0 6.617E-16  891.4   891
  474.0 6.501E-16  891.4   891
  475.0 6.387E-16  891.4   891
  476.0 6.274E-16  891.4   891
  477.0 6.164E-16  891.4   891
  478.0 6.056E-16  891.4   891
  479.0 5.950E-16  891.4   891
  480.0 5.846E-16  891.4   891
  481.0 5.744E-16  891.4   891
  482.0 5.644E-16  891.4   891
  483.0 5.546E-16  891.4   891
  484.0 5.450E-16  891.4   891
  485.0 5.355E-16  891.4   891
  486.0 5.262E-16  891.4   891
  487.0 5.171E-16  891.4   891
  488.0 5.081E-16  891.4   891
  489.0 4.994E-16  891.4   891
  490.0 4.907E-16  891.4   891
  491.0 4.823E-16  891.4   891
  492.0 4.740E-16  891.4   891
  493.0 4.658E-16  891.4   891
  494.0 4.578E-16  891.4   891
  495.0 4.500E-16  891.4   891
  496.0 4.423E-16  891.4   891
  497.0 4.347E-16  891.4   891
  498.0 4.273E-16  891.4   891
  499.0 4.200E-16  891.4   891
  500.0 4.128E-16  891.4   891
  501.0 4.058E-16  891.4   891
  502.0 3.989E-16  891.4   891
  503.0 3.922E-16  891.4   891
  504.0 3.855E-16  891.4   891
  505.0 3.790E-16  891.4   891
  506.0 3.726E-16  891.4   891
  507.0 3.663E-16  891.4   891
  508.0 3.601E-16  891.4   891
  509.0 3.541E-16  891.4   891
  510.0 3.481E-16  891.4   891
  511.0 3.423E-16  891.4   891
  512.0 3.366E-16  891.4   891
  513.0 3.309E-16  891.4   891
  514.0 3.254E-16  891.4   891
  515.0 3.200E-16  891.4   891
  516.0 3.147E-16  891.4   891
  517.0 3.094E-16  891.4   891
  518.0 3.043E-16  891.4   891
  519.0 2.993E-16  891.4   891
